name,gender,power1,power2,power3,power4,power5,series_name,volume_name,genre
Hel,she/her,/,0.42857142857142855,0.1038961038961039,-0.08,-0.19230769230769232,A_Simple_Survey,Volume1,"['Fantasy', 'Sci-Fi', 'Supernatural']"
Kamijou,he/him/his,0.08163265306122448,0.2352941176470588,0.0,0.07142857142857142,0.4230769230769231,A_Simple_Survey,Volume1,"['Fantasy', 'Sci-Fi', 'Supernatural']"
Jinnai Shinobu,he/him/his,0.0,0.0,0.2727272727272727,0.0,0.0,A_Simple_Survey,Volume1,"['Fantasy', 'Sci-Fi', 'Supernatural']"
Waltraute,she/her,0.42857142857142855,0.5142857142857142,0.5555555555555556,0.21739130434782608,0.4,A_Simple_Survey,Volume1,"['Fantasy', 'Sci-Fi', 'Supernatural']"
Quenser,he/him/his,0,0.0,0.0,0.0,0.0,A_Simple_Survey,Volume1,"['Fantasy', 'Sci-Fi', 'Supernatural']"
Julie,she/her,0.3652173913043478,0.0,0.21951219512195122,0.1935483870967742,0.1320754716981132,Absolute_Duo,Volume5,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Tooru,he/him/his,-0.2857142857142857,0.35294117647058826,-0.14285714285714285,-0.018867924528301886,0.11428571428571428,Absolute_Duo,Volume5,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
K,he/him/his,0.25675675675675674,-0.0625,/,/,/,Absolute_Duo,Volume5,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Tsukimi,she/her,0.18072289156626506,0.0,0.24468085106382978,0.46153846153846156,0.5,Absolute_Duo,Volume5,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Lilith,she/her,0.0,0.0,0.0,0.0,0.0,Absolute_Duo,Volume5,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Julie,she/her,0.45454545454545453,0.2962962962962963,0.13793103448275862,/,/,Absolute_Duo,Volume6,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Miyabi,she/her,/,/,/,/,0.21739130434782608,Absolute_Duo,Volume6,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Lilith,she/her,/,0.16,0.4444444444444444,/,/,Absolute_Duo,Volume6,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Tachibana,she/her,/,/,0.0,0.3076923076923077,1.0,Absolute_Duo,Volume6,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Sakaki,he/him/his,0.0,0.0,0.0,0,0,Absolute_Duo,Volume6,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Miyabi,she/her,0.0,0.09375,-0.25,-1.0,0.0,Absolute_Duo,Volume4,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Julie,she/her,0.22666666666666666,0.2261904761904762,0.05555555555555555,0.20930232558139536,-0.04,Absolute_Duo,Volume4,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Lilith,she/her,0.3157894736842105,0.12048192771084335,0.09615384615384616,0.16326530612244894,0.5,Absolute_Duo,Volume4,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Tooru,she/her,0.0,1.0,0.24,0.6,0.0,Absolute_Duo,Volume4,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Tora,he/him/his,0.0,0.0,0.0,0.0,0.0,Absolute_Duo,Volume4,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']"
Menma,she/her,0.13636363636363635,0.09523809523809523,0.015873015873015872,0.1134020618556701,0.1206896551724138,Anohana:_The_Flower_We_Saw_That_Day,Volume1,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'Supernatural']"
Atsumu,he/him/his,0.3333333333333333,0.0,0.0,0.037037037037037035,0.16049382716049382,Anohana:_The_Flower_We_Saw_That_Day,Volume1,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'Supernatural']"
Anjo,she/her,0.22033898305084745,0.3076923076923077,0.3684210526315789,/,1.0,Anohana:_The_Flower_We_Saw_That_Day,Volume1,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'Supernatural']"
Jintan,she/her,0.11627906976744184,-0.6666666666666666,0.14285714285714285,-0.125,-0.2,Anohana:_The_Flower_We_Saw_That_Day,Volume1,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'Supernatural']"
Naruko,she/her,0.0,0.0,0.0,0.0,0.0,Anohana:_The_Flower_We_Saw_That_Day,Volume1,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'Supernatural']"
Menma,she/her,-0.6,0.08333333333333333,0.1875,0.22580645161290322,0.3275862068965517,Anohana:_The_Flower_We_Saw_That_Day,Volume2,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'Supernatural']"
Anjo,she/her,0.5,/,0.37209302325581395,0.2916666666666667,0.0,Anohana:_The_Flower_We_Saw_That_Day,Volume2,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'Supernatural']"
Jinta,she/her,0.0,0.2,/,/,0.0,Anohana:_The_Flower_We_Saw_That_Day,Volume2,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'Supernatural']"
Meiko,she/her,0.19047619047619047,0.2127659574468085,0.0,/,0.2,Anohana:_The_Flower_We_Saw_That_Day,Volume2,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'Supernatural']"
Popo,he/him/his,0.0,0.0,0.0,0.0,0.0,Anohana:_The_Flower_We_Saw_That_Day,Volume2,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'Supernatural']"
Karuta,he/him/his,0.2419354838709677,0.25,0.36633663366336633,0.27710843373493976,/,Apocalypse_Witch,Volume1,"['Action', 'Supernatural']"
Marika,she/her,0.2222222222222222,/,0.29411764705882354,0.2376237623762376,0.25,Apocalypse_Witch,Volume1,"['Action', 'Supernatural']"
Aine,she/her,0.3695652173913043,0.23809523809523808,0.36,0.3939393939393939,0.08333333333333333,Apocalypse_Witch,Volume1,"['Action', 'Supernatural']"
Elicia,she/her,0.06796116504854369,-0.5,/,/,-0.5,Apocalypse_Witch,Volume1,"['Action', 'Supernatural']"
Yukino,she/her,0.0,0.0,0.0,0.0,0,Apocalypse_Witch,Volume1,"['Action', 'Supernatural']"
Karuta,he/him/his,0.5,0.03378378378378378,-0.1111111111111111,0.16666666666666666,0.08227848101265822,Apocalypse_Witch,Volume2,"['Action', 'Supernatural']"
Marika,she/her,-0.3333333333333333,0.2,0.37142857142857133,-0.125,0.1736111111111111,Apocalypse_Witch,Volume2,"['Action', 'Supernatural']"
Natalena,she/her,0.4,0.3050847457627119,0.4545454545454545,0.08,0.3333333333333333,Apocalypse_Witch,Volume2,"['Action', 'Supernatural']"
Aine,she/her,0.0,0.3387096774193548,0.25,0.0,0.2075471698113208,Apocalypse_Witch,Volume2,"['Action', 'Supernatural']"
Kyouka,he/him/his,0.0,0.0,0.0,0.0,0.0,Apocalypse_Witch,Volume2,"['Action', 'Supernatural']"
Karuta,he/him/his,0.27956989247311825,0.2159090909090909,0.2352941176470588,0.19626168224299065,0.203125,Apocalypse_Witch,Volume3,"['Action', 'Supernatural']"
Kyouka,she/her,-0.3333333333333333,0.0,0.08333333333333333,0.14545454545454545,0.075,Apocalypse_Witch,Volume3,"['Action', 'Supernatural']"
Aine,she/her,0.0,0.3548387096774194,-0.03125,0.07407407407407407,/,Apocalypse_Witch,Volume3,"['Action', 'Supernatural']"
Marika,she/her,0.2127659574468085,-1.0,0.375,0.3333333333333333,0.2608695652173913,Apocalypse_Witch,Volume3,"['Action', 'Supernatural']"
Natlena,she/her,0.0,0.0,0.0,0.0,0.0,Apocalypse_Witch,Volume3,"['Action', 'Supernatural']"
Karuta,he/him/his,0.0,0.16666666666666666,0.19672131147540986,-0.0625,1.0,Apocalypse_Witch,Volume4,"['Action', 'Supernatural']"
Aine,she/her,0.13953488372093026,0.2978723404255319,0.3333333333333333,0.014285714285714284,-0.03571428571428571,Apocalypse_Witch,Volume4,"['Action', 'Supernatural']"
Marika,she/her,-0.5,-0.14285714285714285,0.25,0.2307692307692308,0.09090909090909093,Apocalypse_Witch,Volume4,"['Action', 'Supernatural']"
Letnahe,she/her,0.1111111111111111,0.5714285714285714,0.2272727272727273,0.2972972972972973,0.3076923076923077,Apocalypse_Witch,Volume4,"['Action', 'Supernatural']"
Kyouka,she/her,0.0,0.0,0.0,0.0,0.0,Apocalypse_Witch,Volume4,"['Action', 'Supernatural']"
Akihisa,he/him/his,0.14,1.0,0.2,0.13114754098360656,0.19811320754716982,Baka_to_Test_to_Shoukanjuu,Volume3,"['Comedy', 'Romance']"
Sakamoto,he/him/his,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.2054794520547945,-0.14285714285714285,Baka_to_Test_to_Shoukanjuu,Volume3,"['Comedy', 'Romance']"
Amano - sempai,she/her,0.16666666666666666,0.3188405797101449,0.20512820512820512,/,/,Baka_to_Test_to_Shoukanjuu,Volume3,"['Comedy', 'Romance']"
